Window,Upstream,Downstream,Isolate,Type
501-1000bp,0.0634380050796583,0.0726737474024475,JPN_CHIKA,Non-Effector
1001-2000bp,0.117524821057493,0.10857769568229,JPN_CHIKA,Non-Effector
2000+bp,0.253752020318633,0.246478873239437,JPN_CHIKA,Non-Effector
0-500bp,0.0652136507026097,0.065729853742472,USA_2,Non-Effector
501-1000bp,0.0637797533696587,0.0712360195010037,USA_2,Non-Effector
1001-2000bp,0.117522225408661,0.11052480642386,USA_2,Non-Effector
2000+bp,0.258158875824491,0.247834815027244,USA_2,Non-Effector
0-500bp,0.0715619166148102,0.139390168014935,CHE_96224,Effector
501-1000bp,0.125700062227754,0.149968886123211,CHE_96224,Effector
1001-2000bp,0.194150591163659,0.154947106409459,CHE_96224,Effector
2000+bp,0.110765401369011,0.0535158680771624,CHE_96224,Effector
0-500bp,0.0554834301332422,0.0608131192347113,CHE_96224,Non-Effector
501-1000bp,0.0624530235736249,0.0793987017423984,CHE_96224,Non-Effector
1001-2000bp,0.119781346088145,0.118824735223779,CHE_96224,Non-Effector
2000+bp,0.264024598565084,0.239221045439016,CHE_96224,Non-Effector
